orgid,ein,charity_name,category,city,state,efficiency_rating_star,affiliate_payments,admin_expense,total_revenue,program_expense,other_revenue,capacity_rating,program_expense_percent,primary_revenue_growth,fund_efficiency,cause,tag_line,overall_rating,website,total_functional_expense,leader_comp,program_expense_growth,net_assets,efficiency_rating,leader_comp_percent,capacity_rating_star,budget_surplus,admin_expense_percent,fund_expense,primary_revenue,url,fund_expense_percent,email,working_capital_ratio,overall_rating_star
8302,52-0794368,AAA Foundation for Traffic Safety,Public Benefit,Washington,DC,4,0,"148,806","3,420,445","2,480,164","503,860",23.78,89.2,7.9,0.05,Research and Public Policy Institutions,Saving lives through research and education,62.71,http://www.aaafoundation.org,"2,777,686","215,626",3.7,"11,837,494",38.92,7.76,4,"642,759",5.3,"148,716","2,916,585",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8302,5.3,mailto:info@aaafoundation.org,1.93,4
4991,13-3540234,Aaron Diamond AIDS Research Center,Health,New York,NY,4,0,"2,670,888","17,015,844","15,352,860","-296,237",30.00,83.1,9.4,0.02,Medical Research,Finding solutions to end the AIDS epidemic,68.31,http://www.adarc.org,"18,455,008","584,500",9.0,"51,159,456",38.31,3.16,4,"-1,439,164",14.4,"431,260","17,312,081",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4991,2.3,mailto:webinfo@adarc.org,2.50,4
3205,52-0794300,AARP Foundation,Public Benefit,Washington,DC,4,0,"2,988,490","118,854,085","117,699,328","950,075",13.78,90.2,-1.0,0.08,Advocacy and Civil Rights,Dedicated to enhancing the quality of life for all as we age,52.81,,"130,343,370","235,237",6.0,"54,428,925",39.02,0.18,2,"-11,489,285",2.2,"9,655,552","117,904,010",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3205,7.4,,0.41,3
3240,52-6037388,AAUW Educational Foundation,Education,Washington,DC,2,0,"412,701","373,157","6,154,843","-4,387,804",20.07,76.9,5.3,0.30,Other Education Programs and Services,Breaking through barriers for women and girls since 1958,47.76,,"8,002,120","191,190",0.9,"101,211,733",27.69,2.38,3,"-7,628,963",5.1,"1,434,576","4,760,961",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3240,17.9,,3.01,2
7940,94-1546643,Abilities United,Human Services,Palo Alto,CA,3,0,"975,937","5,037,343","3,781,080","-63,939",8.91,75.0,0.2,0.19,Social Services,Championing people with development and physical challenges,41.42,http://abilitiesunited.org,"5,036,040","135,000",2.3,"1,515,291",32.50,2.68,1,"1,303",19.3,"279,023","5,101,282",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7940,5.5,mailto:info@abilitiesunited.org,0.14,2
9182,94-3087060,Abode Services,Human Services,Fremont,CA,4,0,"491,460","5,815,095","5,078,962","48,665",30.00,87.3,19.1,0.04,Homeless Services,Together we can end homelessness in our community,68.73,http://www.abodeservices.org,"5,813,779","136,124",36.1,"6,745,220",38.73,2.34,4,"1,316",8.4,"243,357","5,766,430",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9182,4.1,mailto:info@abodeservices.org,1.16,4
9371,13-3556715,The Abraham Fund Initiatives,International,New York,NY,4,0,"313,201","4,135,348","3,190,242","74,185",25.83,82.3,9.7,0.09,Single Country Support Organizations,Advancing coexistence and equality among Jews and Arabs in Israel,64.07,http://www.abrahamfund.org,"3,871,864","275,000",8.3,"2,488,193",38.23,7.10,4,"263,484",8.0,"368,422","4,061,163",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9371,9.5,mailto:info@abrahamfund.org,0.63,4
6013,13-3091539,Abraham Joshua Heschel School,Education,New York,NY,4,0,"2,748,400","56,780,262","25,235,771","579,943",30.00,87.9,38.7,0.02,Private Elementary and Secondary Schools,"Opening minds, bridging differences, living Jewish values",68.79,http://www.heschel.org,"28,677,417","462,130",11.4,"103,276,622",38.79,1.61,4,"28,102,845",9.5,"693,246","56,200,319",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6013,2.4,mailto:carolw@heschel.org,3.37,4
12762,91-1339173,Abused Deaf Women's Advocacy Services,Human Services,Seattle,WA,2,0,"68,662","1,233,390","1,069,229","6,753",19.91,79.8,-6.3,0.17,Social Services,Providing comprehensive services to deaf and deaf-blind victims/survivors of sexual assault,50.39,http://www.adwas.org/,"1,339,198","80,746",9.9,"2,780,398",30.48,6.02,3,"-105,808",5.1,"201,307","1,226,637",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12762,15.0,mailto:adwas@adwas.org,2.07,3
4994,13-3552154,Abyssinian Development Corporation,Public Benefit,New York,NY,2,0,"1,774,802","30,599,764","17,031,334","17,803,839",27.50,85.7,49.1,0.43,Community and Housing Development,Believe. Build. Empower.,58.57,http://www.adcorp.org,"19,852,817","200,000",45.0,"19,600,931",31.07,1.00,4,"10,746,947",8.9,"1,046,681","12,795,925",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4994,5.2,mailto:adc@adcorp.org,0.96,3
3208,95-2243698,Academy Foundation,"Arts, Culture, Humanities",Beverly Hills,CA,1,"4,873,206","1,942,904","10,187,934","3,446,504","3,769,780",10.00,63.9,-22.7,0.00,"Libraries, Historical Societies and Landmark Preservation",Organizing and overseeing the educational and cultural activities of the motion picture industry,36.39,http://www.oscars.org/,"5,390,208","305,760",-34.3,"77,217,087",26.39,5.67,1,"-75,480",36.0,800,"6,418,154",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3208,0.0,,5.72,1
5705,75-6042129,Academy of Achievement,Education,Washington,DC,4,0,"195,177","3,475,135","3,123,787","73,855",7.50,89.4,-19.9,0.05,Other Education Programs and Services,A museum of living history,46.12,http://www.achievement.org,"3,491,834",Not compensated,-21.9,"2,731,913",38.62,--,1,"-16,699",5.5,"172,870","3,401,280",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5705,4.9,mailto:editor_1@achievement.org,0.50,2
9256,13-1879953,Academy of American Poets,"Arts, Culture, Humanities",New York,NY,1,0,"191,013","1,561,800","1,259,978","267,531",16.76,73.6,-1.7,0.22,Performing Arts,Serving poets and poetry since 1934,44.13,http://www.poets.org,"1,710,181","146,669",4.5,"7,500,896",27.36,8.57,2,"-148,381",11.1,"259,190","1,294,269",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9256,15.1,mailto:membership@poets.org,1.71,2
3209,23-1352000,The Academy of Natural Sciences,"Arts, Culture, Humanities",Philadelphia,PA,3,0,"1,534,696","13,724,153","12,026,797","3,585,154",14.29,83.4,-5.1,0.12,Museums,Connecting people to nature since 1812,50.13,http://www.ansp.org,"14,416,882","263,006",6.7,"62,313,142",35.84,1.82,2,"-692,729",10.6,"855,389","10,138,999",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3209,5.9,mailto:membership@ansp.org,1.55,3
9103,95-2283284,Academy of Television Arts & Sciences Foundation,Education,North Hollywood,CA,1,0,"868,852","2,951,565","1,755,339","611,381",20.00,65.0,14.3,0.03,Other Education Programs and Services,"To educate, inspire and preserve",46.50,http://emmys.org/foundation/,"2,698,192",Not compensated,-0.5,"2,840,849",26.50,--,3,"253,373",32.2,"74,001","2,340,184",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9103,2.7,mailto:clark@emmys.org,1.05,2
6064,23-1352001,Academy of Vocal Arts,Education,Philadelphia,PA,2,0,"348,140","1,921,607","2,327,433","-31,469",24.70,75.5,9.1,0.25,Other Education Programs and Services,Giving voice to opera's future,54.76,http://www.avaopera.com,"3,079,409","120,000",4.7,"20,405,725",30.05,3.89,4,"-1,157,802",11.3,"403,836","1,953,076",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6064,13.1,mailto:info@avaopera.com,1.40,3
10907,04-3555864,Accelerated Cure Project for Multiple Sclerosis ,Health,Waltham,MA,2,0,"230,515","4,964,583","1,859,865","-176,202",30.00,73.8,29.5,0.08,"Diseases, Disorders, and Disciplines",Dedicated to curing multiple sclerosis by determining its causes,62.38,http://www.acceleratedcure.org/,"2,518,582","143,611",18.3,"3,918,318",32.38,5.70,4,"2,446,001",9.1,"428,202","5,140,785",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10907,17.0,mailto:info-web0209@acceleratedcure.org,1.55,4
9311,94-3131165,Access Fund,Environment,Boulder,CO,4,0,"106,982","1,273,699","800,287","97,278",11.40,79.9,2.6,0.07,"Botanical Gardens, Parks, and Nature Centers",Keeping climbing areas open and conserving the climbing environment,49.40,,"1,000,669","77,151",-2.6,"704,059",37.99,7.70,1,"273,030",10.6,"93,400","1,176,421",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9311,9.3,,0.70,2
3211,13-2535763,ACCION International,International,Boston,MA,2,0,"5,740,655","45,510,811","21,169,937","32,754,956",30.00,72.2,22.3,0.23,Development and Relief Services,Helping millions help themselves,59.72,http://www.accion.org,"29,311,861","733,952",12.3,"333,904,315",29.72,2.50,4,"16,198,950",19.5,"2,401,269","12,755,855",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3211,8.1,mailto:donate@accion.org,11.39,3
7904,85-0417347,ACCION New Mexico,Public Benefit,Albuquerque,NM,3,0,"78,964","2,662,096","1,870,020","314,595",10.00,87.6,-6.9,0.11,Community and Housing Development,Lending. Supporting. Inspiring.,46.26,http://www.accionnm.org/,"2,133,417","112,378",-1.3,"6,763,162",36.26,5.26,1,"528,679",3.7,"184,433","2,347,501",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7904,8.6,mailto:accion@accionnm.org,2.29,2
7754,11-3317234,ACCION New York and New Jersey,Public Benefit,New York,NY,3,0,"451,163","4,181,804","3,887,080","161,339",7.50,84.2,-8.3,0.10,Community and Housing Development,Providing microloans and business advisory services to individuals and small businesses,42.91,http://www.accionusa.org,"4,615,867","186,961",-6.7,"2,520,402",35.41,4.05,1,"-434,063",9.7,"277,624","4,020,465",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7754,6.0,mailto:donate@accionusa.org,0.54,2
7806,33-0620415,ACCION San Diego,Public Benefit,San Diego,CA,4,0,"64,372","823,774","731,955","26,906",21.47,89.2,-0.5,0.05,Community and Housing Development,Lending. Supporting. Inspiring.,60.40,http://www.accionsandiego.org/,"819,741","61,688",8.2,"2,039,822",38.92,7.52,3,"4,033",7.8,"23,414","796,868",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7806,2.8,mailto:info@accionsandiego.org,2.48,4
8163,04-3219159,ACCION USA,Public Benefit,New York,NY,3,0,"417,220","2,243,630","3,876,620","31,394",10.40,85.5,-4.1,0.17,Community and Housing Development,Providing small business loans and microfinance,45.01,http://www.accionusa.org,"4,529,525","
                  None reported",7.9,"689,068",34.60,--,1,"-2,285,895",9.2,"235,685","2,212,236",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8163,5.2,mailto:donate@accionusa.org,0.15,2
6917,34-0714766,Achievement Centers for Children,Human Services,Highland Hills,OH,3,0,"886,455","5,961,340","6,312,616","-213,403",18.54,83.6,-1.6,0.17,Social Services,Serving children with disabilities for over 70 years,54.41,http://www.achievementcenters.org/,"7,542,470","170,322",6.4,"18,618,016",35.86,2.25,3,"-1,581,130",11.7,"343,399","6,174,743",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6917,4.5,mailto:deborah.osgood@achievementctrs.org,2.39,3
10383,65-1023099,Achievement Centers for Children & Families Foundation,Public Benefit,Delray Beach,FL,1,0,"112,873","37,083","488,280","-775,890",27.19,66.1,1.5,0.16,Fundraising Organizations,Supporting the Achievement Centers for Children & Families,51.30,http://www.delraychild.org/,"738,153","81,840",20.8,"4,570,163",24.11,11.08,4,"-701,070",15.2,"137,000","812,973",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10383,18.5,mailto:info@delraychild.org,5.43,3
11058,41-1425264,AchieveMpls,Education,Minneapolis,MN,4,0,"356,166","5,450,748","5,639,100","147,086",30.00,88.9,19.1,0.07,Other Education Programs and Services,Supporting student success,68.84,http://www.achievempls.org,"6,337,472","136,053",30.5,"7,655,418",38.84,2.14,4,"-886,724",5.6,"342,206","5,303,662",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11058,5.3,mailto:info@achievempls.org,1.12,4
10825,23-7064937,Acterra,Environment,Palo Alto,CA,4,0,"68,650","1,729,922","1,830,766","-176,726",25.00,89.6,14.7,0.08,Environmental Protection and Conservation,Action for a healthy planet,63.96,http://www.acterra.org,"2,041,932","74,685",28.9,"984,453",38.96,3.65,4,"-312,010",3.3,"142,516","1,906,648",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10825,6.9,mailto:membership@acterra.org,0.48,4
3212,13-3327220,Action Against Hunger | ACF-USA,International,New York,NY,4,0,"4,398,162","40,611,321","29,913,873","388,902",27.50,84.8,15.8,0.02,Development and Relief Services,Providing innovative solutions to world hunger,65.98,http://www.actionagainsthunger.org,"35,250,825","211,284",16.9,"21,126,802",38.48,0.59,4,"5,360,496",12.4,"938,790","40,222,419",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3212,2.6,mailto:info@actionagainsthunger.org,0.59,4
11020,47-0902020,Action for Healthy Kids,Human Services,Skokie,IL,4,0,"267,032","3,911,168","3,439,127","4,586",27.50,89.0,7.2,0.04,"Youth Development, Shelter, and Crisis Services","Fostering sound nutrition and good physical activity in children, youth, and schools",66.40,http://www.actionforhealthykids.org/,"3,863,110","138,386",13.4,"2,722,238",38.90,3.58,4,"48,058",6.9,"156,951","3,906,582",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11020,4.0,mailto:info@actionforhealthykids.org,0.70,4
7153,54-0897679,Action in Community Through Service,Human Services,Dumfries,VA,2,0,"213,881","4,227,681","3,476,906","29,246",11.98,79.6,0.7,0.20,Social Services,People helping people,39.95,,"4,362,809","70,000",-2.6,"3,412,703",27.96,1.60,1,"-135,128",4.9,"672,022","4,198,435",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7153,15.4,,0.77,1
8247,13-2603590,Action on Smoking and Health,Health,Washington,DC,4,0,"362,256","3,591,180","3,300,457","126,548",30.00,85.6,37.1,0.05,Treatment and Prevention Services,Everything for people concerned about smoking and nonsmokers' rights,68.56,http://www.ash.org,"3,855,092","226,500",44.9,"7,302,702",38.56,5.87,4,"-263,912",9.3,"192,379","3,464,632",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8247,4.9,mailto:ashlegal@cs.net,1.23,4
8757,52-2277575,ActionAid International USA,International,Washington,DC,3,0,"537,990","4,817,056","6,631,198","27,486",27.50,83.6,36.1,0.15,Development and Relief Services,Working with poor and marginalized people to eradicate poverty,63.36,http://www.actionaidusa.org/,"7,930,190","95,000",72.5,"5,342,550",35.86,1.19,4,"-3,113,134",6.7,"761,002","4,789,570",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8757,9.5,mailto:nfo@actionaid.org,0.67,4
10184,33-0857142,Activated Ministries,Religion,Escondido,CA,0,0,"238,216","4,390,801","1,867,689","206,642",25.00,43.5,49.1,0.52,Religious Activities,Sharing God's word with others,41.85,http://www.activatedministries.org,"4,292,144","49,200",43.4,"1,307,614",16.85,1.14,4,"98,657",5.5,"2,186,239","4,184,159",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10184,50.9,mailto:info@actmin.org,0.30,2
6986,38-2926822,Acton Institute for the Study of Religion and Liberty,Public Benefit,Grand Rapids,MI,4,0,"399,341","6,238,374","4,509,271","179,348",27.50,83.9,18.1,0.07,Advocacy and Civil Rights,Promoting a free and virtuous society,65.89,http://www.acton.org/,"5,372,926","159,260",12.3,"4,993,597",38.39,2.96,4,"865,448",7.4,"464,314","6,059,026",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6986,8.6,mailto:info@acton.org,0.92,4
6457,95-2783139,Actors and Others for Animals,Animals,North Hollywood,CA,4,0,"38,947","995,197","587,716","143,136",26.22,90.0,15.8,0.03,"Animal Rights, Welfare, and Services",We care,65.22,http://www.actorsandothers.com/,"652,564","
                  None reported",6.2,"1,884,527",39.00,--,4,"342,633",5.9,"25,901","852,061",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6457,3.9,mailto:actorsandothers@sbcglobal.net,2.02,4
5994,13-1635251,The Actors Fund,"Arts, Culture, Humanities",New York,NY,3,0,"1,151,308","26,168,866","22,349,624","1,378,255",26.83,87.2,8.4,0.16,Performing Arts,For everyone in entertainment,63.06,http://www.actorsfund.org/,"25,614,050","284,940",9.3,"33,847,950",36.22,1.11,4,"554,816",4.4,"2,113,118","24,790,611",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5994,8.2,mailto:info@actorsfund.org,0.92,4
8693,61-0645030,Actors Theatre of Louisville,"Arts, Culture, Humanities",Louisville,KY,3,0,"1,434,021","7,242,589","8,018,699","615,398",18.01,81.5,-13.8,0.13,Performing Arts,Experience the power of live theatre,53.66,http://www.actorstheatre.org/,"9,833,170","148,955",7.7,"25,278,097",35.65,1.51,3,"-2,590,581",14.5,"380,450","6,627,191",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8693,3.8,mailto:info@actorstheatre.org,2.03,3
11774,13-4166228,Acumen Fund,International,New York,NY,2,0,"1,227,484","24,306,323","5,287,795","-1,590,665",30.00,72.7,25.0,0.02,Development and Relief Services,Building transformative businesses to solve the problems of poverty,62.27,http://www.acumenfund.org/,"7,264,784","260,000",33.4,"87,965,276",32.27,3.57,4,"17,041,539",16.8,"749,505","25,896,988",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11774,10.3,mailto:sdichter@acumenfund.org,12.10,4
9997,14-1594386,The Adirondack Council,Environment,Elizabethtown,NY,4,0,"179,030","1,582,958","1,231,189","128,320",17.06,82.8,-0.3,0.05,Environmental Protection and Conservation,Defending the East's greatest wilderness,55.32,http://www.adirondackcouncil.org,"1,485,982","152,488",3.7,"2,914,402",38.25,10.26,2,"96,976",12.0,"75,763","1,454,638",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9997,5.0,mailto:info@adirondackcouncil.org,1.92,3
5018,13-5635801,Adirondack Museum,"Arts, Culture, Humanities",Blue Mountain Lake,NY,2,0,"513,706","4,224,391","3,621,086","2,052,080",20.00,81.1,7.2,0.25,Museums,History is in our nature,51.18,http://www.adkmuseum.org,"4,460,463","141,469",-2.4,"47,501,681",31.18,3.17,3,"-236,072",11.5,"325,671","2,172,311",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5018,7.3,mailto:info@adirondackmuseum.org,4.74,3
3213,36-6210902,Adler Planetarium & Astronomy Museum,"Arts, Culture, Humanities",Chicago,IL,2,0,"2,752,135","18,695,060","12,400,112","1,043,282",20.97,70.9,18.1,0.17,Museums,Inspiring the next generation of explorers,53.07,http://www.adlerplanetarium.org,"17,468,283","371,454",2.5,"29,501,018",32.09,2.12,3,"1,226,777",15.7,"2,316,036","17,651,778",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3213,13.2,mailto:supportadler@adlerplanetarium.org,1.57,3
10444,74-1492692,Admiral Nimitz Foundation,"Arts, Culture, Humanities",Fredericksburg,TX,4,0,"872,530","14,744,641","14,137,768","297,736",22.50,92.6,60.8,0.01,Museums,Supporting the mission of the National Museum of the Pacific War,61.76,http://www.nimitzfoundation.org/,"15,257,228","26,615",78.6,"4,506,050",39.26,0.17,4,"-512,587",5.7,"246,930","14,446,905",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10444,1.6,mailto:kaderli@nimitz-museum.com,0.24,4
10404,87-0490211,Adopt-A-Native-Elder Program,Human Services,Park City,UT,4,0,"89,196","883,612","731,550","-17,741",27.50,84.3,15.7,0.05,Social Services,Creating a bridge of hope between Native Americans and other cultures,65.93,http://www.anelder.org,"867,316","54,250",12.4,"556,852",38.43,6.25,4,"16,296",10.2,"46,570","901,353",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10404,5.3,mailto:mail@anelder.org,0.64,4
11927,65-0828272,Adopt-A-Classroom,Education,Miami,FL,4,0,"178,728","2,610,783","2,416,602","7,720",25.00,92.5,16.4,0.00,Other Education Programs and Services,"Helping communities, helping schools",64.25,http://www.adoptaclassroom.org,"2,610,330","107,642",51.6,"1,617,132",39.25,4.12,4,453,6.8,"15,000","2,603,063",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11927,0.5,mailto:info@adoptaclassroom.org,0.47,4
10645,59-2471253,Adopt-A-Family,Human Services,Lake Worth,FL,4,0,"268,228","3,448,650","2,652,361","393,513",24.87,84.9,5.2,0.07,Homeless Services,Helping Palm Beach County families become self-sufficient,63.37,http://www.adoptafamilypbc.org,"3,121,935","113,649",5.9,"4,891,871",38.49,3.64,4,"326,715",8.5,"201,346","3,055,137",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10645,6.4,mailto:klanier@adoptafamilypbc.org,1.56,4
11174,74-2918904,AdoptaPlatoon,Human Services,Lozano,TX,0,0,"353,848","7,556,252","2,180,299","55,062",25.00,32.0,56.3,0.57,Social Services,Supporting deployed soldiers since 1998,25.00,http://adoptaplatoon.org/site/,"6,812,137","48,123",118.9,"2,208,122",0.00,0.70,4,"744,115",5.1,"4,277,990","7,501,190",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11174,62.7,mailto:info@adoptaplatoon.org,0.32,1
10221,84-0793576,The Adoption Exchange,Human Services,Aurora,CO,3,0,"311,819","3,848,522","3,451,765","190,230",7.48,80.6,-6.2,0.19,Children's and Family Services,Connecting children and families since 1983,40.10,http://www.adoptex.org,"4,281,143","115,000",2.4,"1,102,225",32.62,2.68,1,"-432,621",7.2,"517,559","3,658,292",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10221,12.0,mailto:info@adoptex.org,0.25,2
8078,52-1314847,ADRA,International,Silver Spring,MD,4,0,"5,884,974","56,661,360","51,467,521","587,231",5.00,87.3,-14.7,0.02,Development and Relief Services,Creating just and positive change through empowering partnerships and responsible action,43.73,http://www.adra.org/,"58,952,717","93,169",-15.1,"27,139,629",38.73,0.15,1,"-2,291,357",9.9,"1,600,222","56,074,129",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8078,2.7,mailto:planned.gifts@adra.org,0.46,2
3216,75-2402759,Advancing Native Missions,Religion,Charlottesville,VA,4,0,"680,174","7,377,423","6,893,226","22,589",22.86,88.5,5.0,0.02,Religious Activities,Helping to take the Gospel of Jesus Christ to the world's remaining unreached and unevangelized peoples,61.46,http://www.adnamis.org,"7,787,386","36,593",4.7,"1,980,855",38.60,0.46,4,"-409,963",8.7,"213,986","7,354,834",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3216,2.7,mailto:requests@adnamis.org,0.25,4
